ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL	,Download 2 name,Download 2 URL
,,3265,2-Delige Jilbab Lycra polsjes- Navy,,,,Deze twee delige jilbab is een nieuwe variant van onze klassieke two piece jilbab. Deze variant heeft echter stretch katoenen mouwen die voor extra comfort zorgen. Ook tijdens beweging blijven de mouwen netjes op hun plek en blijf je altijd bedekt.,,,,,,1,4,,,,,,,,,29.95,29.95,,,,https://islamitischekleding.nl/6020-medium_default/2-delige-jilbab-lycra-polsjes-navy.jpg,,,,,,,https://islamitischekleding.nl/nl/khimar-met-rok/3265-2-delige-jilbab-lycra-polsjes-navy.html,,,,,,,,,,,,,,,
,,1733,Long Feet Gimaar Aubergine 44,,,,"Extra lange enkelkhimar  die tot aan de enkels komt. Van zachte soepele stof, schijnt niet door. Ingebouwd hoofdkapje om de gimar aan het hoofd te binden. Model op de foto is ongeveer 173cm. Gimar heeft een draag lengte van ongeveer 170cm.
 
 
Stof: Polyster",,,,,,1,8,,,,,,,,,24.99,24.99,,,,https://islamitischekleding.nl/11005-medium_default/long-feet-gimaar-aubergine-44.jpg,,,,,,,https://islamitischekleding.nl/nl/enkel-khimar/1733-long-feet-gimaar-aubergine-44-2400000003953.html,,,,,,,,,,,,,,,
,,2615,Lina Scarf Soft Blue,,,,De Lina Scarf is gemaakt van een zachte jersey material. Ze is makkelijk te wikkelen en omdat de sjaal niet doorschijnt hoef je er geen onderkapje bij te dragen. Alle zijden van de sjaal zijn bewerkt met zwart kant.,,,,,,1,7,,,,,,,,,7.95,7.95,,,,https://islamitischekleding.nl/4428-medium_default/lina-scarf-soft-blue.jpg,,,,,,,https://islamitischekleding.nl/nl/lina-scarf-175x60/2615-lina-scarf-soft-blue-2400000010401.html,,,,,,,,,,,,,,,
,,2158,Maxi Jersey Sjaal 80 x 200cm Navy,,,,"100% viscose sjaal in een extra groot formaat, 80 x 200cm.",,,,,,1,11,,,,,,,,,9.95,9.95,,,,https://islamitischekleding.nl/10572-medium_default/maxi-jersey-sjaal-80-x-200cm-navy-hoofddoek-online-kopen-100-viscose-stretch-sjaal-in-een-extra-groot-formaat-80-x-200cm-fabric-.jpg,,,,,,,https://islamitischekleding.nl/nl/jersey-80-x-200cm/2158-maxi-jersey-sjaal-80-x-200cm-navy-hoofddoek-online-kopen-100-viscose-stretch-sjaal-in-een-extra-groot-formaat-80-x-200cm-fabric--2400000006428.html,,,,,,,,,,,,,,,
,,5815,Viscose Sjaal Founara - Blanc,,,,Een viscose sjaal zonder versieringen aan het einde van de sjaal. De Sjaal is van zachtvoelende en dragende stof. De afmeting van de sjaal is 70 180cm.,,,,,,1,18,,,,,,,,,6.95,6.95,,,,https://islamitischekleding.nl/11296-medium_default/viscose-sjaal-founara-brick.jpg,,,,,,,https://islamitischekleding.nl/nl/viscose-zonder-parels/5815-viscose-sjaal-founara-brick.html,,,,,,,,,,,,,,,
,,3846,Saufiya Kimono Dress Pale Pink,,,,Een elegante kimono van een chique dure stof. Deze is stevig van zichzelf waardoor deze altijd recht staat en dus elegant en prinselijk oogt. De stof is verder soepel en zacht. Aan beide kanten heeft de kimono zakken. De armen zijn wijd en komen tot iets voor de polsen om je deze elegante te behouden.,,,,,,1,2,,,,,,,,,59.95,59.95,,,,https://islamitischekleding.nl/7924-medium_default/saufiya-kimono-dress-pale-pink.jpg,,,,,,,https://islamitischekleding.nl/nl/kimono-abaya/3846-26986-saufiya-kimono-dress-pale-pink.html,,,,,,,,,,,,,,,
,,2385,Richtlijnen voor de omgang met nieuwe moslims,,,,,,,,,,1,9,,,,,,,,,5.25,5.25,,,,https://islamitischekleding.nl/4126-medium_default/richtlijnen-voor-de-omgang-met-nieuwe-moslims.jpg,,,,,,,https://islamitischekleding.nl/nl/persoonlijke-groei/2385-richtlijnen-voor-de-omgang-met-nieuwe-moslims-2400000008279.html,,,,,,,,,,,,,,,
,,5541,Qamees Al-Bay White Zipper,,,,"Qamees voor heren in leuke kleuren, soepele zachte stof en beschieden maar stoere afwerking. Bij de borst voorzien van een rits en een borstzak. Aan beide zijden beschikt deze qamees over zakken. Dit model oogt stoer.",,,,,,1,0,,,,,,,,,39.95,39.95,,,,https://islamitischekleding.nl/10021-medium_default/qamees-al-bay-white-zipper.jpg,,,,,,,https://islamitischekleding.nl/nl/thoub/5541-27821-qamees-al-bay-white-zipper.html,,,,,,,,,,,,,,,
,,1627,Lycra kapje Geel CC 2,,,,Kapje van hoogwaardige rekbare stof. Wordt gedragen onder een hoofddoek of sjaal waardoor het haar goed bedekt wordt en de sjaal goed op de plek blijft.,,,,,,1,10,,,,,,,,,2.99,2.99,,,,https://islamitischekleding.nl/2597-medium_default/lycra-kapje-geel-cc-2.jpg,,,,,,,https://islamitischekleding.nl/nl/bone-lycra-stretch/1627-lycra-kapje-geel-cc-2-2400000003151.html,,,,,,,,,,,,,,,
,,4119,Abaya Maleekah Black,,,,Stijlvolle Abaya in prinsessenlijn gesneden. Bij de borst en polsen voorzien van zwarte knopen. Om het midden heeft het model een touwtje waarmee je de abaya om het midden naar eigen smaak kan aantrekken. Casual en chique! Het verdient de naam Maleekah/Queen!,,,,,,1,0,,,,,,,,,49.99,49.99,,,,https://islamitischekleding.nl/8469-medium_default/abaya-maleekah-black.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-maleekah/4119-27464-abaya-maleekah-black.html,,,,,,,,,,,,,,,
,,3681,Abaya Simpel Dahlia,,,,"Basic Jilbab van zachtvallende stof, schijnt niet door. Bij de borst heeft de jilbab een rits die borstvoeding mogelijk maakt. Een jilbab die in elke kledingskast zou moeten hangen.
Maatindicatie: Het model op de foto is 170cm lang en maatje 36. Op de foto draagt het ze het kledingstuk in de maat Small.",,,,,,1,0,,,,,,,,,24.95,24.95,,,,https://islamitischekleding.nl/7228-medium_default/abaya-simpel-dahlia.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-basic/3681-26287-abaya-simpel-dahlia.html,,,,,,,,,,,,,,,
,,2174,Maxi Cloche Rok Peach,,,,De maxi cloche rok is een mooi zusje van de Abaya Maleekah. Als je houdt van extra wijde onderzijden dan is dit de perfect rok voor jou. Hij is sierlijk en veelzijdig.  In de taille sluit deze aan met elastiek. Het is een unisize rok ( zelfde maat als onze classic maxi rok) met een lengte van 110cm. De rok is van een viscose gemaakt die niet doorschijnt. Aan één zijde zit er een zak in de rok.,,,,,,1,12,,,,,,,,,34.95,34.95,,,,https://islamitischekleding.nl/10979-medium_default/maxi-cloche-rok-peach.jpg,,,,,,,https://islamitischekleding.nl/nl/maxi-rokken-umm-sarah-wear/2174-maxi-cloche-rok-peach-2400000006527.html,,,,,,,,,,,,,,,
,,629,Abaya Simpel Navy,,,,"Basic Jilbab van zachtvallende stof, schijnt niet door. Bij de borst heeft de jilbab een rits die borstvoeding mogelijk maakt. Een jilbab die in elke kledingskast zou moeten hangen.
Maatindicatie: Het model op de foto is 170cm lang en maatje 36. Op de foto draagt het ze het kledingstuk in de maat Small.",,,,,,1,36,,,,,,,,,24.95,24.95,,,,https://islamitischekleding.nl/6778-medium_default/abaya-simpel-navy.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-basic/629-2954-abaya-simpel-navy.html,,,,,,,,,,,,,,,
,,3728,Dua bij het buitentreden grijs,,,,"Dua bij het buitentreden in grijze tinten. In de Naam van Allah, mijn vertrouwen stel ik in Allah, er is geen macht en geen kracht buiten Allah. Uitspraak: Bismiellahi, tawakkaltoe 3ala Allaahi wa...",,,,,,1,19,,,,,,,,,3,3,,,,https://islamitischekleding.nl/7364-medium_default/dua-bij-het-buitentreden-grijs.jpg,,,,,,,https://islamitischekleding.nl/nl/fotolijsten/3728-26438-dua-bij-het-buitentreden-grijs.html,,,,,,,,,,,,,,,
,,3731,Dua binnentreden Toilet,,,,Een dua bij het betreden van de toilet. (Hang deze dua op buiten het toilet) Afmeting lijst: 18x21 cm Afmeting glossy kaart: 13x18...,,,,,,1,20,,,,,,,,,3,3,,,,https://islamitischekleding.nl/7367-medium_default/dua-binnentreden-toilet.jpg,,,,,,,https://islamitischekleding.nl/nl/fotolijsten/3731-26446-dua-binnentreden-toilet.html,,,,,,,,,,,,,,,
,,1897,Long Feet Gimaar Navy,,,,"Extra lange enkelkhimar  die tot aan de enkels komt. Van zachte soepele stof, schijnt niet door. Ingebouwd hoofdkapje om de gimar aan het hoofd te binden. Model op de foto is ongeveer 173cm. Gimar heeft een draag lengte van ongeveer 170cm.
 
 
Stof: Polyster",,,,,,1,5,,,,,,,,,24.99,24.99,,,,https://islamitischekleding.nl/11024-medium_default/long-feet-gimaar-navy.jpg,,,,,,,https://islamitischekleding.nl/nl/enkel-khimar/1897-long-feet-gimaar-navy-2400000004707.html,,,,,,,,,,,,,,,
,,5616,Abaya Maleekah HB- Puce Pink,,,,"Stijlvolle Abaya in prinsessenlijn gesneden. Bij de borst en polsen voorzien van zwarte knopen. Om het midden heeft het model een touwtje waarmee je de abaya om het midden naar eigen smaak kan aantrekken. Casual en chique! Het verdient de naam Maleekah/Queen! Bij dit model zijn de knopen niet zichtbaar!
 
Let op! de afmetingen van dit model wijken af van de standaard afmetingen. Zie voor de exacte maten in de maattabel hieronder.",,,,,,1,12,,,,,,,,,49.99,49.99,,,,https://islamitischekleding.nl/10360-medium_default/abaya-maleekah-abaya-abaya-maleekah-hb-puce-pink.jpg,,,,,,,https://islamitischekleding.nl/nl/abaya-maleekah/5616-27881-abaya-maleekah-abaya-abaya-maleekah-hb-puce-pink.html,,,,,,,,,,,,,,,
,,1629,Lycra kapje Mauve CC 4,,,,Kapje van hoogwaardige rekbare stof. Wordt gedragen onder een hoofddoek of sjaal waardoor het haar goed bedekt wordt en de sjaal goed op de plek blijft.,,,,,,1,,,,,,,,,,2.99,2.99,,,,https://islamitischekleding.nl/2599-medium_default/lycra-kapje-mauve-cc-4.jpg,,,,,,,https://islamitischekleding.nl/nl/bone-lycra-stretch/1629-lycra-kapje-mauve-cc-4-2400000003175.html,,,,,,,,,,,,,,,
,,3267,2-Delige Jilbab Lycra polsjes - Mauve,,,,Deze twee delige jilbab is een nieuwe variant van onze klassieke two piece jilbab. Deze variant heeft echter stretch katoenen mouwen die voor extra comfort zorgen. Ook tijdens beweging blijven de mouwen netjes op hun plek en blijf je altijd bedekt.,,,,,,1,2,,,,,,,,,29.95,29.95,,,,https://islamitischekleding.nl/6026-medium_default/2-delige-jilbab-lycra-polsjes-mauve.jpg,,,,,,,https://islamitischekleding.nl/nl/khimar-met-rok/3267-2-delige-jilbab-lycra-polsjes-mauve.html,,,,,,,,,,,,,,,
,,2581,Hijaab 150cm vierkant Mint,,,,Grote vierkante hijaab van ongeveer 150cm in diameter.,,,,,,1,10,,,,,,,,,5.99,5.99,,,,https://islamitischekleding.nl/4392-medium_default/hijaab-150cm-vierkant-mint.jpg,,,,,,,https://islamitischekleding.nl/nl/hoofddoek-xl-150cm/2581-hijaab-150cm-vierkant-mint-2400000010067.html,,,,,,,,,,,,,,,
,,2065,Long Feet Gimaar Dusty Mauve,,,,"Extra lange enkelkhimar  die tot aan de enkels komt. Van zachte soepele stof, schijnt niet door. Ingebouwd hoofdkapje om de gimar aan het hoofd te binden. Model op de foto is ongeveer 173cm. Gimar heeft een draag lengte van ongeveer 170cm.
 
 
Stof: Polyster",,,,,,1,7,,,,,,,,,24.99,24.99,,,,https://islamitischekleding.nl/10995-medium_default/long-feet-gimaar-dusty-mauve-38.jpg,,,,,,,https://islamitischekleding.nl/nl/enkel-khimar/2065-long-feet-gimaar-dusty-mauve-38-2400000005810.html,,,,,,,,,,,,,,,
,,3850,Lange Jersey Ribtrui Baby Blue,,,,Een extra lange trui met de lengte van een abaya. Super comfortabel en goed te combineren met overjassen of warme vesten. De stof is soepel en heeft een goede rek. Deze lange trui is een basic item die je voor elke gelegenheid aan kan.,,,,,,1,2,,,,,,,,,19.96,19.96,,,,https://islamitischekleding.nl/7698-medium_default/lange-jersey-ribtrui-baby-blue.jpg,,,,,,,https://islamitischekleding.nl/nl/lange-truien-vesten/3850-27037-lange-jersey-ribtrui-baby-blue.html,,,,,,,,,,,,,,,
,,2879,Bescherming Dua Jongen Rond,,,,"Dit is de dua die gedaan dient te worden voor een jongen om bescherming te zoeken bij Allah. Laat je middels deze mooie lijst herinneren aan deze dua waarmee je bescherming vraagt bij Allah. Ook leuk als kado bij een geboorte!
Afmeting per lijst: 15x20 cm (kaart 13x18)",,,,,,1,,,,,,,,,,7.5,7.5,,,,https://islamitischekleding.nl/7161-medium_default/bescherming-dua-jongen-rond.jpg,,,,,,,https://islamitischekleding.nl/nl/fotolijsten/2879-bescherming-dua-jongen-rond-2400000012153.html,,,,,,,,,,,,,,,
