allow_customer_reviews,attribute_1_global,attribute_1_name,attribute_1_values,attribute_1_visible,attribute_2_global,attribute_2_name,attribute_2_values,attribute_2_visible,backorders_allowed,button_text,categories,cross_sells,currency,date_sale_price_ends,date_sale_price_starts,description,download_1_URL,download_1_name,download_2_URL,download_2_name,download_expiry_days,download_limit,external_URL,grouped_products,height,images,in_stock,is_featured,length,meta__wpcom_is_markdown,name,parent,position,published,purchase_note,regular_price,sale_price,shipping_class,short_description,sku,sold_individually,stock,tags,tax_class,tax_status,upsells,url,visibility_in_catalog,weight,width
,,kindermaten (leeftijd),"6, 8, 4",,,,,,,,Home > Kinderkleding,,EUR,,,,,,,,,,,,,https://static.itijara.eu/10218-large_default/marokkaanse-kinder-jurkje-sfifa.jpg,,,,,Marokkaanse Kinder Jurkje Sfifa,,,1,,None,9.95,,None,493,,,,,,,https://www.libasi.nl/kinderkleding/5983-2618-marokkaanse-kinder-jurkje-sfifa.html#/493-kindermaten-6,,,
,,Kleur,"Zwart, Donkergrasgroen, marineblauw, Wit, lichtbruin, Taupe, Roze, Creme, Donkeroranje, Middengrijs",,,,,,,,Home > Hijab & hijab accessoires > Instant & Amira,,EUR,,,,,,,,,,,,,https://static.itijara.eu/1645-large_default/kinder-hoofddoek.jpg,1,,,,Kinder Hoofddoek,,,1,,None,2.95,,None,158,,,,,,,https://www.libasi.nl/instant-amira/884-546-kinder-hoofddoek.html#/158-kleur-zwart,,,
,,None,,,,,,,,,Home > Kinderkleding,,EUR,,,,,,,,,,,,,"https://static.itijara.eu/7348-medium_default/baby-slofjes-i-love-abi.jpg,https://static.itijara.eu/7349-medium_default/baby-slofjes-i-love-abi.jpg,https://static.itijara.eu/7350-medium_default/baby-slofjes-i-love-abi.jpg,https://static.itijara.eu/7351-medium_default/baby-slofjes-i-love-abi.jpg,https://static.itijara.eu/7348-large_default/baby-slofjes-i-love-abi.jpg,https://static.itijara.eu/7349-large_default/baby-slofjes-i-love-abi.jpg,https://static.itijara.eu/7350-large_default/baby-slofjes-i-love-abi.jpg",,,,,Baby slofjes I love Abi,,,1,,None,3.95,,Babyslofjes met Arabische tekst 'I love Abi',4218,,,,,,,https://www.libasi.nl/kinderkleding/4218-baby-slofjes-i-love-abi.html,,,
,,Kleur,"Zwart, donkerblauw, lichtgrijs, donkerbruin, Donkergrasgroen, bordeauxrood, Donkerstaalblauw, Taupe, Antraciet, Roze",,,,,,,,Home > Abaya > Gebedskleding,,EUR,,,,,,,,,,,,,https://static.itijara.eu/10214-large_default/gebedskleding.jpg,,,,,Gebedskleding,,,1,,None,12.5,,gebedskleding van zachte soepele stof. Bestaande uit een rok en een ghimaar.,199,,,"gebed,
                ,ghimaar,
                ,gebedskleding,
                ",,,,https://www.libasi.nl/gebedskleding/850-2614-gebedskleding.html#/199-kleur-antraciet,,,
,,Kleur,"Zwart, mintgroen, Roze, DonkerPetrol",,,,,,,,Home > Kinderkleding,,EUR,,,Kinder tweedelig jilbab bestaande uit een rok en ghimaar met mouwtjes.,,,,,,,,,,https://static.itijara.eu/5748-large_default/jilbab-kinder.jpg,1,,,,Jilbab Kinder,,,1,,None,12.5,,None,193,,,,,,,https://www.libasi.nl/kinderkleding/3239-2174-jilbab-kinder.html#/171-kindermaten-8/193-kleur-mintgroen,,,
,,Kleur,"Zwart, oudroze",,,,,,,,Home > Abaya > Abaya met Motief,,EUR,,,Prachtige luxe feestjurk (abaya). Mooi afgewerkt.,,,,,,,,,,"https://static.itijara.eu/1606-medium_default/luxe-abaya-jurk.jpg,https://static.itijara.eu/1604-medium_default/luxe-abaya-jurk.jpg,https://static.itijara.eu/1605-medium_default/luxe-abaya-jurk.jpg,https://static.itijara.eu/1603-medium_default/luxe-abaya-jurk.jpg,https://static.itijara.eu/1606-large_default/luxe-abaya-jurk.jpg,https://static.itijara.eu/1604-large_default/luxe-abaya-jurk.jpg,https://static.itijara.eu/1605-large_default/luxe-abaya-jurk.jpg",1,,,,Luxe abaya (jurk),,,1,,"74,95",37.48,,Prachtige luxe feestjurk (abaya). Mooi afgewerkt.,213,,,"abaya,
                ,jurk,
                ,feest,
                ,goud,
                ",,,,https://www.libasi.nl/abaya-met-motief/866-432-luxe-abaya-jurk.html#/158-kleur-zwart/213-kledingmaat-maat_38,,,
,,None,,,,,,,,,Home > Kinderkleding,,EUR,,,,,,,,,,,,,"https://static.itijara.eu/7341-medium_default/baby-slofjes-i-love-ummi.jpg,https://static.itijara.eu/7342-medium_default/baby-slofjes-i-love-ummi.jpg,https://static.itijara.eu/7340-medium_default/baby-slofjes-i-love-ummi.jpg,https://static.itijara.eu/7343-medium_default/baby-slofjes-i-love-ummi.jpg,https://static.itijara.eu/7341-large_default/baby-slofjes-i-love-ummi.jpg,https://static.itijara.eu/7342-large_default/baby-slofjes-i-love-ummi.jpg,https://static.itijara.eu/7340-large_default/baby-slofjes-i-love-ummi.jpg",,,,,Baby slofjes I love Ummi,,,1,,None,3.95,,Babyslofjes met Arabische tekst 'I love Ummi',4217,,,,,,,https://www.libasi.nl/kinderkleding/4217-baby-slofjes-i-love-ummi.html,,,
,,Kleur,"lichtblauw, Roze, Paars",,,,,,,,Home > Abaya > Gebedskleding,,EUR,,,,,,,,,,,,,https://static.itijara.eu/8137-large_default/gebedskleding-katoen-bloemetjes.jpg,,,,,Gebedskleding Katoen - Bloemetjes,,,1,,None,12.5,,None,296,,,,,,,https://www.libasi.nl/gebedskleding/4631-1995-gebedskleding-katoen-bloemetjes.html#/296-kleur-paars,,,
,,Kleur,"Zwart, kobaltblauw",,,,,,,,Home > Abaya > Abaya met Motief,,EUR,,,Prachtige kimono met rozenprint. Staat prachtige boven onze abaya a-lijn. Beschikbaar in drie kleurencombinaties.,,,,,,,,,,https://static.itijara.eu/1622-large_default/kimono-rose-.jpg,,,,,Kimono ' Rose',,,1,,None,29.95,,Prachtige kimono met rozenprint. Staat prachtige boven onze abaya a-lijn. Beschikbaar in drie kleurencombinaties.,158,,,"abaya,
                ,roos,
                ,Rozen,
                ,kimono,
                ,dubai,
                ",,,,https://www.libasi.nl/abaya-met-motief/872-2640-kimono-rose-.html#/158-kleur-zwart,,,
,,Kleur,"Zwart, donkerblauw, lichtgrijs, donkerbruin, marineblauw, bordeauxrood, Taupe, Roze, donkergroen, Donkerrose, Middengrijs",,,,,,,,Home > Abaya > Gebedskleding,,EUR,,,"Eendelige gebedskleding. Het is een jurk (met mouwen) met een hoofddoek aan vastgenaaid, die je heel makkelijk snel aan kan doen. Gemaakt van zachte, lekker zittende stof.",,,,,,,,,,"https://static.itijara.eu/5703-medium_default/gebedskleding-1-delig.jpg,https://static.itijara.eu/5704-medium_default/gebedskleding-1-delig.jpg,https://static.itijara.eu/5705-medium_default/gebedskleding-1-delig.jpg,https://static.itijara.eu/5706-medium_default/gebedskleding-1-delig.jpg,https://static.itijara.eu/5703-large_default/gebedskleding-1-delig.jpg,https://static.itijara.eu/5704-large_default/gebedskleding-1-delig.jpg,https://static.itijara.eu/5705-large_default/gebedskleding-1-delig.jpg",,,,,Gebedskleding - 1 Delig,,,1,,None,13.95,,None,159,,,,,,,https://www.libasi.nl/gebedskleding/3213-1774-gebedskleding-1-delig.html#/159-kleur-donkerblauw,,,
,,kledingmaat,"maat 42, maat 44, maat 46, maat 48",,,,,,,,Home > Abaya > Enkelkleurige Abaya,,EUR,,,,,,,,,,,,,https://static.itijara.eu/5227-large_default/abaya-knoopjes.jpg,1,,,,Abaya Knoopjes,,,1,,"59,00",53.1,,None,215,,,,,,,https://www.libasi.nl/enkelkleurige-abaya/2950-1032-abaya-knoopjes.html#/215-kledingmaat-maat_42,,,
,,Maat,"M, 2XL, 3XL",,,,,,,,Home > Abaya > Enkelkleurige Abaya,,EUR,,,,,,,,,,,,,https://static.itijara.eu/5225-large_default/abaya-soepel.jpg,1,,,,Abaya Soepel,,,1,,"39,95",35.96,,None,345,,,,,,,https://www.libasi.nl/enkelkleurige-abaya/2962-995-abaya-soepel.html#/345-maat_s_3xl-2xl,,,
