ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL	,Download 2 name,Download 2 URL
,,326708,Monica - Creme Katoen Turban - Ayse Turban,,,,Monica - Creme Katoen Turban Van Ayse Turban.- Kleur: Creme- Materialen: 95% Bomull 5% Lycra- Wasvoorschrift: HandwasMade In Turkey,,,,,,0,,,,,,,,,,16.9,22.9,Hijab/,,,"https://hijabfactory.nl/images/zoom/326708-1.jpg,https://hijabfactory.nl/images/zoom/326708-2.jpg,https://hijabfactory.nl/images/zoom/326708-3.jpg,https://hijabfactory.nl/images/zoom/326708-4.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/monica-creme-katoen-turban-ayse-turban/,,,kleuren,"Monica - Marineblauw Katoen Turban - Ayse Turban,Monica - Taupe Katoen Turban - Ayse Turban,Monica - Bordeaux Katoen Turban - Ayse Turban,Monica - Blauw Katoen Turban - Ayse Turban,Monica - Bruin Katoen Turban - Ayse Turban,Monica - Zwart Katoen Turban - Ayse Turban,Monica - Oudroze Katoen Turban - Ayse Turban,Monica - Fuchsia Katoen Turban - Ayse Turban,Monica - Mosterd Katoen Turban - Ayse Turban,Monica - Wit Katoen Turban - Ayse Turban,Monica - Khaki Katoen Turban - Ayse Turban,Monica - Donkergroen Katoen Turban - Ayse Turban",,,Afmeting,,,,,,,,
,,326711,Monica - Mosterd Katoen Turban - Ayse Turban,,,,Monica - Mosterd Katoen Turban Van Ayse Turban.- Kleur: Mosterd- Materialen: 95% Bomull 5% Lycra- Wasvoorschrift: HandwasMade In Turkey,,,,,,1,,,,,,,,,,16.9,22.9,Hijab/,,,"https://hijabfactory.nl/images/zoom/326711-1.jpg,https://hijabfactory.nl/images/zoom/326711-2.jpg,https://hijabfactory.nl/images/zoom/326711-3.jpg,https://hijabfactory.nl/images/zoom/326711-4.jpg,https://hijabfactory.nl/images/zoom/326711-5.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/monica-mosterd-katoen-turban-ayse-turban/,,,kleuren,"Monica - Marineblauw Katoen Turban - Ayse Turban,Monica - Taupe Katoen Turban - Ayse Turban,Monica - Bordeaux Katoen Turban - Ayse Turban,Monica - Blauw Katoen Turban - Ayse Turban,Monica - Bruin Katoen Turban - Ayse Turban,Monica - Zwart Katoen Turban - Ayse Turban,Monica - Oudroze Katoen Turban - Ayse Turban,Monica - Fuchsia Katoen Turban - Ayse Turban,Monica - Wit Katoen Turban - Ayse Turban,Monica - Khaki Katoen Turban - Ayse Turban,Monica - Donkergroen Katoen Turban - Ayse Turban",,,Afmeting,,,,,,,,
,,280703,Emine - Zwart Abaya - Miss Cazibe,,,,"Emine - Zwart Abaya Von Miss Cazibe - Kleur: Zwart- Materialen: 90% Polyester 5% Katoen 5% Lycra- Afmeting: 38: Lengte 140 cm, Buste 96 cm, Afmeting 92 cm, Heup 102 cm",,,,,,1,,,,,,,,,,13.9,30.9,Kleren/,,,"https://hijabfactory.nl/images/zoom/280701-1.jpg,https://hijabfactory.nl/images/zoom/280701-2.jpg,https://hijabfactory.nl/images/zoom/280701-3.jpg,https://hijabfactory.nl/images/zoom/280701-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/emine-zwart-abaya-miss-cazibe/,,,kleuren,"Emine - Marineblauw Abaya - Miss Cazibe,Emine - Taupe Abaya - Miss Cazibe",,,Afmeting,"36,38,40,42,44,46",,,,,,,
,,326707,Monica - Oudroze Katoen Turban - Ayse Turban,,,,Monica - Oudroze Katoen Turban Van Ayse Turban.- Kleur: Oudroze- Materialen: 95% Bomull 5% Lycra- Wasvoorschrift: HandwasMade In Turkey,,,,,,1,,,,,,,,,,16.9,22.9,Hijab/,,,"https://hijabfactory.nl/images/zoom/326707-1.jpg,https://hijabfactory.nl/images/zoom/326707-2.jpg,https://hijabfactory.nl/images/zoom/326707-3.jpg,https://hijabfactory.nl/images/zoom/326707-4.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/monica-oudroze-katoen-turban-ayse-turban/,,,kleuren,"Monica - Marineblauw Katoen Turban - Ayse Turban,Monica - Taupe Katoen Turban - Ayse Turban,Monica - Bordeaux Katoen Turban - Ayse Turban,Monica - Blauw Katoen Turban - Ayse Turban,Monica - Bruin Katoen Turban - Ayse Turban,Monica - Zwart Katoen Turban - Ayse Turban,Monica - Fuchsia Katoen Turban - Ayse Turban,Monica - Mosterd Katoen Turban - Ayse Turban,Monica - Wit Katoen Turban - Ayse Turban,Monica - Khaki Katoen Turban - Ayse Turban,Monica - Donkergroen Katoen Turban - Ayse Turban",,,Afmeting,,,,,,,,
,,326714,Monica - Donkergroen Katoen Turban - Ayse Turban,,,,Monica - Donkergroen Katoen Turban Van Ayse Turban.- Kleur: Donkergroen- Materialen: 95% Bomull 5% Lycra- Wasvoorschrift: HandwasMade In Turkey,,,,,,1,,,,,,,,,,16.9,22.9,Hijab/,,,"https://hijabfactory.nl/images/zoom/326714-1.jpg,https://hijabfactory.nl/images/zoom/326714-2.jpg,https://hijabfactory.nl/images/zoom/326714-3.jpg,https://hijabfactory.nl/images/zoom/326714-4.jpg,https://hijabfactory.nl/images/zoom/326714-5.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/monica-donkergroen-katoen-turban-ayse-turban/,,,kleuren,"Monica - Marineblauw Katoen Turban - Ayse Turban,Monica - Taupe Katoen Turban - Ayse Turban,Monica - Bordeaux Katoen Turban - Ayse Turban,Monica - Blauw Katoen Turban - Ayse Turban,Monica - Bruin Katoen Turban - Ayse Turban,Monica - Zwart Katoen Turban - Ayse Turban,Monica - Oudroze Katoen Turban - Ayse Turban,Monica - Fuchsia Katoen Turban - Ayse Turban,Monica - Mosterd Katoen Turban - Ayse Turban,Monica - Wit Katoen Turban - Ayse Turban,Monica - Khaki Katoen Turban - Ayse Turban",,,Afmeting,,,,,,,,
,,280713,Emine - Marineblauw Abaya - Miss Cazibe,,,,"Emine - Marineblauw Abaya Von Miss Cazibe - Kleur: Marineblauw- Materialen: 90% Polyester 5% Katoen 5% Lycra- Afmeting: 38: Lengte 140 cm, Buste 96 cm, Afmeting 92 cm, Heup 102 cm",,,,,,1,,,,,,,,,,13.9,30.9,Kleren/,,,"https://hijabfactory.nl/images/zoom/280711-1.jpg,https://hijabfactory.nl/images/zoom/280711-2.jpg,https://hijabfactory.nl/images/zoom/280711-3.jpg,https://hijabfactory.nl/images/zoom/280711-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/emine-marineblauw-abaya-miss-cazibe/,,,kleuren,"Emine - Zwart Abaya - Miss Cazibe,Emine - Taupe Abaya - Miss Cazibe",,,Afmeting,"36,38,40,42,44,46",,,,,,,
,,280725,Emine - Khaki Abaya - Miss Cazibe,,,,"Emine - Khaki Abaya Von Miss Cazibe - Kleur: Khaki- Materialen: 90% Polyester 5% Katoen 5% Lycra- Afmeting: 38: Lengte 140 cm, Buste 96 cm, Afmeting 92 cm, Heup 102 cm",,,,,,0,,,,,,,,,,30.9,,Kleren/,,,"https://hijabfactory.nl/images/zoom/280721-1.jpg,https://hijabfactory.nl/images/zoom/280721-2.jpg,https://hijabfactory.nl/images/zoom/280721-3.jpg,https://hijabfactory.nl/images/zoom/280721-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/emine-khaki-abaya-miss-cazibe/,,,kleuren,"Emine - Zwart Abaya - Miss Cazibe,Emine - Marineblauw Abaya - Miss Cazibe,Emine - Taupe Abaya - Miss Cazibe",,,Afmeting,,,,,,,,
,,280733,Emine - Taupe Abaya - Miss Cazibe,,,,"Emine - Taupe Abaya Von Miss Cazibe - Kleur: Taupe- Materialen: 90% Polyester 5% Katoen 5% Lycra- Afmeting: 38: Lengte 140 cm, Buste 96 cm, Afmeting 92 cm, Heup 102 cm",,,,,,1,,,,,,,,,,13.9,30.9,Kleren/,,,"https://hijabfactory.nl/images/zoom/280731-1.jpg,https://hijabfactory.nl/images/zoom/280731-2.jpg,https://hijabfactory.nl/images/zoom/280731-3.jpg,https://hijabfactory.nl/images/zoom/280731-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/emine-taupe-abaya-miss-cazibe/,,,kleuren,"Emine - Zwart Abaya - Miss Cazibe,Emine - Marineblauw Abaya - Miss Cazibe",,,Afmeting,"36,38,40,42,44,46",,,,,,,
,,280741,Emine - Purper Abaya - Miss Cazibe,,,,"Emine - Purper Abaya Von Miss Cazibe - Kleur: Purper- Materialen: 90% Polyester 5% Katoen 5% Lycra- Afmeting: 38: Lengte 140 cm, Buste 96 cm, Afmeting 92 cm, Heup 102 cm",,,,,,0,,,,,,,,,,30.9,,Kleren/,,,"https://hijabfactory.nl/images/zoom/280741-2.jpg,https://hijabfactory.nl/images/zoom/280741-3.jpg,https://hijabfactory.nl/images/zoom/280741-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/emine-purper-abaya-miss-cazibe/,,,kleuren,"Emine - Zwart Abaya - Miss Cazibe,Emine - Marineblauw Abaya - Miss Cazibe,Emine - Taupe Abaya - Miss Cazibe",,,Afmeting,,,,,,,,
,,280752,Naima - Marineblauw & Zalm Jurk,,,,"Naima - Marineblauw & Zalm Jurk Von Miss Halima- Kleur: Zwart- Materialen: 95% Polyester 5% Lycra- Afmeting: 38: Lengte 150 cm, Buste 90 cm, Afmeting 78 cm, Heup 96 cm",,,,,,0,,,,,,,,,,25.57,,Kleren/,,,"https://hijabfactory.nl/images/zoom/280751-1.jpg,https://hijabfactory.nl/images/zoom/280751-2.jpg,https://hijabfactory.nl/images/zoom/280751-3.jpg,https://hijabfactory.nl/images/zoom/280751-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/naima-marineblauw-zalm-jurk/,,,kleuren,,,,Afmeting,,,,,,,,
,,280772,Yeliz - Zwarte Lange Jas Met Capuchon,,,,"Yeliz - Zwarte Lange Jas Met Capuchon Von Miss Halima./p>- Kleur: Zwart- Materialen: 95% Polyester 5% Lycra- Afmeting: 38: Lengte 121 cm, Buste 98 cm, Afmeting 92 cm, Heup 108 cmMade In Turkey",,,,,,0,,,,,,,,,,71.89,,Kleren/,,,"https://hijabfactory.nl/images/zoom/280771-1.jpg,https://hijabfactory.nl/images/zoom/280771-2.jpg,https://hijabfactory.nl/images/zoom/280771-3.jpg,https://hijabfactory.nl/images/zoom/280771-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/yeliz-zwarte-lange-jas-met-capuchon/,,,kleuren,,,,Afmeting,,,,,,,,
,,280762,Naima - Zwart & Zalm Jurk,,,,"Naima - Zwart & Zalm Jurk Von Miss Halima- Kleur: Zwart- Materialen: 95% Polyester 5% Lycra- Afmeting: 38: Lengte 150 cm, Buste 90 cm, Afmeting 78 cm, Heup 96 cm",,,,,,0,,,,,,,,,,25.57,,Kleren/,,,"https://hijabfactory.nl/images/zoom/280761-1.jpg,https://hijabfactory.nl/images/zoom/280761-2.jpg,https://hijabfactory.nl/images/zoom/280761-3.jpg,https://hijabfactory.nl/images/zoom/280761-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/naima-zwart-zalm-jurk/,,,kleuren,,,,Afmeting,,,,,,,,
,,327505,Helena - Beige Praktisch Hijab - Ayse Turban,,,,Helena - Beige Praktisch Instant One Piece Hijab Van Ayse Turban.- Kleur: Beige- Materialen: 100% Polyester- Wasvoorschrift: HandwasMade In Turkey,,,,,,1,,,,,,,,,,29.9,39.9,Hijab/,,,"https://hijabfactory.nl/images/zoom/helena-beige-praktisk-hijab-ayse-turban-327505-1.jpg,https://hijabfactory.nl/images/zoom/helena-beige-praktisk-hijab-ayse-turban-327505-2.jpg,https://hijabfactory.nl/images/zoom/helena-beige-praktisk-hijab-ayse-turban-327505-3.jpg,https://hijabfactory.nl/images/zoom/helena-beige-praktisk-hijab-ayse-turban-327505-4.jpg,https://hijabfactory.nl/images/zoom/helena-beige-praktisk-hijab-ayse-turban-327505-5.jpg,https://hijabfactory.nl/images/zoom/helena-beige-praktisk-hijab-ayse-turban-327505-6.jpg",,,,,,,https://hijabfactory.nl/nl/hijab/helena-beige-praktisch-hijab-ayse-turban/,,,kleuren,"Helena - Bruin Praktisch Hijab - Ayse Turban,Helena - Oudroze Praktisch Hijab - Ayse Turban",,,Afmeting,,,,,,,,
,,280796,Yeliz - Khaki Lange Jas Met Capuchon,,,,"Yeliz - Khaki Lange Jas Met Capuchon Von Miss Halima./p>- Kleur: Khaki- Materialen: 95% Polyester 5% Lycra- Afmeting: 38: Lengte 121 cm, Buste 98 cm, Afmeting 92 cm, Heup 108 cmMade In Turkey",,,,,,0,,,,,,,,,,71.89,,Kleren/,,,"https://hijabfactory.nl/images/zoom/280791-1.jpg,https://hijabfactory.nl/images/zoom/280791-2.jpg,https://hijabfactory.nl/images/zoom/280791-3.jpg,https://hijabfactory.nl/images/zoom/280791-4.jpg",,,,,,,https://hijabfactory.nl/nl/kleren/yeliz-khaki-lange-jas-met-capuchon/,,,kleuren,,,,Afmeting,,,,,,,,
