tvsquared,Go
crescendo+biologics,Ruby
tullow+oil,Django
x+tag,Flask
celtic+renewables,Scala
3fbio,Web+design
fluidic+analytics,Analytics
nurvv,HTML
edume,Data+analysis
the+cheeky+panda,SaaS+in+cloud
splend,Coding
apperio,software
ki+insurance,Machine+learning
reaction+engines,Python
pearson,JavaScript
adzooma,Java
thirdfort,Apache+Hadoop
healthunlocked,Apache+Spark
charlie,information+technology
yasa,Computer+science
7bridges,Data
myovant+sciences,R
secondmind,Go
benchmark+holdings,Ruby
natterbox,Django
v-nova,Flask
feedr,Scala
garrison+technology,Web+design
mori,Analytics
okra+technologies,HTML
hipgnosis+songs+fund,Data+analysis
genesis+global,SaaS+in+cloud
encompass,Coding
origami+energy,software
hh+global,Machine+learning
cybersmart,Python
homeppl,JavaScript
judopay,Java
better+origin,Apache+Hadoop
sonantic,Apache+Spark
notpla,information+technology
housetrip,Computer+science
tide,Data
paytia,R
polystream,Go
chesterfield+resources,Ruby
uhive+-+a+social+universe,Django
smol,Flask
photobox+group,Scala
digital+fineprint+(dfp),Web+design
swoon+editions,UX
zoopla+property+group+plc+(zpg),UI
beckley+psytech,information+technology
arctic+shores,Computer+science
homehero,Data
skyrora,R
cellcentric,Go
officernd,Ruby
lexoo,Django
pitchme,Flask
canopy,Scala
nodthera,Web+design
nourished,UX
lendflo,UI
anorak+technologies,information+technology
appyway,Computer+science
humanforest,Data
grakn+labs,R
finbourne+technology,Go
pi-top,Ruby
teooh,Django
bmll+technologies,Flask
futrli,Scala
ad-lib.io,Web+design
desktop+genetics,UX
wi5+technologies,UI
senseon,Analytics
yumpingo,HTML
intelligent+energy,Data+analysis
psyomics,SaaS+in+cloud
quorso,Coding
sopost,software
freetrade,Machine+learning
orbital+witness,Python
tonik+energy,JavaScript
audio+analytic,Java
clippings,Apache+Hadoop
evonetix,Apache+Spark
purelifi,information+technology
bridgeu,Computer+science
mission+therapeutics,Data
reviral,R
wrisk,Go
otro,Ruby
phlo,Django
arbolus,Flask
yapily,Scala
ofcom,Web+design
construct,Analytics
den,HTML
nightstar+therapeutics,Data+analysis
naturalmotion,SaaS+in+cloud
capitalrise,Coding
skurio,software
property+partner,Machine+learning
monolith+ai,Python
green+man+gaming,JavaScript
drdoctor,Java
humanising+autonomy,Apache+Hadoop
azoomee,Apache+Spark
laundryheap,information+technology
vitesse+psp,Computer+science
sirin+labs,Data
trunomi,R
babb,Go
premfina,Ruby
cambridge+epigenetix,Django
pharmacy2u,Flask
lloyds+banking+group,Scala
motorway,Web+design
psykhe,Analytics
nucleus+commercial+finance,HTML
moixa+technology,Data+analysis
poplar,SaaS+in+cloud
abzena+plc,Coding
questdb,software
mthree,Machine+learning
swipii,Python
qredo,JavaScript
skimlinks,Java
vault+platform,Apache+Hadoop
kokoon+technology,Apache+Spark
polymateria,information+technology
verv,Computer+science
kandy+therapeutics,Data
askporter,R
realyse,Go
adludio,Ruby
boundary,Django
vividq,Flask
flubit.com,Scala
firefly+learning,Web+design
envolve+tech,Analytics
cryptopay,HTML
brainomix,Data+analysis
pavegen,SaaS+in+cloud
qikserve,Coding
catapult,software
b-north,Machine+learning
ultrasoc+technologies,Python
